"neighbourhood","avg_price","avg_reviews_per_month"
"New Dorp Beach","57.40","5.50"
"East Elmhurst","81.18","4.82"
"Springfield Gardens","94.24","4.46"
"Silver Lake","70.00","4.34"
"Rosebank","111.86","3.81"
"Huguenot","118.33","3.76"
"Jamaica Hills","132.13","3.32"
"Whitestone","107.55","3.32"
"Queens Village","83.93","3.22"
"South Ozone Park","82.40","3.18"
"Schuylerville","69.23","3.16"
"Jamaica","95.77","3.15"
"New Springville","76.00","3.14"
"Unionport","137.14","3.04"
"Jamaica Estates","182.95","2.83"
"Fresh Meadows","99.50","2.82"
"Castle Hill","63.00","2.78"
"Mariners Harbor","94.63","2.74"
"Howard Beach","115.40","2.72"
"Rosedale","76.69","2.68"
