"id","neighbourhood","price","availability_365","reviews_per_month","annual_revenue_potential"
31340283,"Lower East Side",9999,365,NULL,3649635
2953058,"Clinton Hill",8000,365,"0.03",2920000
33007610,"Battery Park City",7500,364,NULL,2730000
33998396,"Chelsea",6800,364,NULL,2475200
36056808,"Tribeca",6500,365,NULL,2372500
2110145,"Upper West Side",6000,359,"0.27",2154000
23377410,"Tribeca",8500,251,"0.18",2133500
1448703,"Nolita",5000,365,"0.03",1825000
2919330,"Bedford-Stuyvesant",5000,363,"0.16",1815000
18051877,"Randall Manor",5000,344,NULL,1720000
2952861,"Clinton Hill",4500,365,"0.09",1642500
35345358,"Williamsburg",4500,365,NULL,1642500
22296197,"Chelsea",4160,364,NULL,1514240
33796251,"Bedford-Stuyvesant",4200,347,NULL,1457400
27629043,"Battery Park City",3750,365,NULL,1368750
29964348,"Upper East Side",3600,358,NULL,1288800
22296097,"Chelsea",3210,364,NULL,1168440
30589636,"Harlem",3200,365,NULL,1168000
22779726,"Upper East Side",7703,146,NULL,1124638
30146411,"Gramercy",3000,365,"0.15",1095000
14730708,"Upper West Side",3000,365,"0.24",1095000
363673,"Upper West Side",3000,365,NULL,1095000
16348791,"West Village",2590,361,"0.41",934990
30443976,"Theater District",3000,311,NULL,933000
14408114,"Midtown",2500,364,"0.13",910000
4777903,"Tribeca",2400,365,"0.05",876000
13963005,"Forest Hills",2350,364,NULL,855400
22436899,"Upper West Side",10000,83,NULL,830000
9528920,"Lower East Side",9999,83,"0.14",829917
32476606,"West Village",2850,270,NULL,769500
11495792,"Crown Heights",2100,363,NULL,762300
22779746,"East Village",3518,215,NULL,756370
30035166,"Harlem",5000,150,"0.38",750000
33171891,"Hell's Kitchen",4100,180,NULL,738000
22295960,"Chelsea",2010,364,NULL,731640
15347268,"Midtown",2000,365,"0.12",730000
5582283,"Sunset Park",2000,365,NULL,730000
6833395,"Lower East Side",2000,365,"0.39",730000
35706068,"Long Island City",2000,365,NULL,730000
8736827,"Sheepshead Bay",2000,365,"0.02",730000
31019621,"Midtown",1999,365,NULL,729635
5616298,"Upper West Side",2000,364,"0.18",728000
15857259,"Midtown",2000,364,"0.38",728000
5649623,"Upper West Side",2000,364,"0.17",728000
13250484,"Hell's Kitchen",2000,362,"0.11",724000
20692563,"Greenwich Village",3900,180,"0.32",702000
17537893,"West Village",4000,173,NULL,692000
13882394,"Greenwich Village",3800,180,"0.06",684000
30145754,"East Village",1880,358,NULL,673040
36189195,"Hell's Kitchen",2999,222,NULL,665778
34737386,"Gramercy",1900,332,NULL,630800
29547314,"Upper West Side",6500,97,NULL,630500
29542012,"East Village",1700,365,NULL,620500
20723274,"Flatlands",1700,365,NULL,620500
34997894,"Bay Ridge",1800,335,NULL,603000
35962668,"Midtown",1600,365,NULL,584000
16087406,"Midtown",1599,365,"0.08",583635
30266235,"Astoria",1500,365,NULL,547500
15772067,"Tribeca",1500,365,"0.12",547500
29486682,"Chinatown",1500,365,NULL,547500
7603640,"Tribeca",1500,365,NULL,547500
26424516,"Flatiron District",1500,362,"0.43",543000
36189257,"Upper East Side",1999,270,NULL,539730
4586448,"East Village",1500,358,"0.43",537000
36311055,"Bedford-Stuyvesant",1749,303,NULL,529947
18616208,"Upper West Side",2900,180,NULL,522000
19261720,"Arverne",1500,342,NULL,513000
30538753,"Bedford-Stuyvesant",1350,365,NULL,492750
30927844,"Upper West Side",1350,365,NULL,492750
25511717,"Gowanus",1333,365,NULL,486545
33718046,"West Village",1799,270,NULL,485730
36308562,"Bedford-Stuyvesant",1369,349,NULL,477781
34915860,"Hell's Kitchen",2500,191,NULL,477500
21701058,"Hell's Kitchen",2200,217,"0.35",477400
29710463,"Prospect-Lefferts Gardens",2545,180,NULL,458100
19698169,"Riverdale",2500,179,NULL,447500
18610554,"East Harlem",2000,219,NULL,438000
26139678,"Morningside Heights",1200,365,NULL,438000
32054910,"Upper West Side",3512,124,NULL,435488
7912513,"East Village",1200,359,"0.25",430800
10549650,"Tribeca",1250,342,NULL,427500
8810949,"Midtown",1170,365,NULL,427050
7915831,"Flatbush",1100,365,"0.03",401500
35863145,"Crown Heights",1500,267,NULL,400500
1515692,"Greenwich Village",1100,364,"0.25",400400
21851100,"Upper West Side",1066,365,"0.2",389090
