"id","neighbourhood","minimum_nights","price"
1651595,"Jackson Heights",9,110
1886294,"DUMBO",9,150
20260218,"Bushwick",9,40
9902263,"Upper West Side",9,120
2778250,"Harlem",9,68
14152806,"Williamsburg",9,249
26717498,"Gowanus",9,55
4165278,"Lower East Side",9,79
16431249,"Kips Bay",9,190
4765659,"Bedford-Stuyvesant",9,58
22291811,"Williamsburg",9,149
22387975,"Williamsburg",9,50
22012650,"Gramercy",9,186
16245005,"Bedford-Stuyvesant",9,85
30984803,"Bay Ridge",9,120
26780660,"Williamsburg",9,125
7621629,"Upper West Side",9,40
9844482,"Prospect-Lefferts Gardens",9,125
34228341,"Bay Ridge",9,18
25025533,"Hell's Kitchen",9,198
20649927,"Fort Hamilton",9,125
32750384,"Brownsville",9,44
15187369,"East Village",9,150
29153508,"Downtown Brooklyn",9,135
21205374,"Astoria",9,185
35573040,"Sunset Park",9,109
22190967,"Murray Hill",9,85
36280646,"Forest Hills",9,16
27951475,"Bedford-Stuyvesant",9,60
442649,"Chelsea",9,125
6636906,"Morningside Heights",9,60
16808464,"Bushwick",9,50
16777938,"Midtown",9,119
6598334,"Upper West Side",9,100
20458372,"Upper West Side",9,130
17819994,"Park Slope",9,95
35836163,"Williamsburg",9,75
6660518,"Kew Gardens",9,59
30734595,"Park Slope",9,250
8801963,"Bushwick",9,54
35995074,"Ditmars Steinway",9,62
790767,"East Village",9,250
15468765,"Crown Heights",9,90
23763320,"Bushwick",9,84
62903,"Chelsea",9,205
17508300,"West Village",9,180
17037,"East Village",9,230
19566557,"Prospect-Lefferts Gardens",9,91
9796737,"Lower East Side",9,70
34791422,"Borough Park",9,140
12039579,"Kew Gardens",9,73
3605896,"Washington Heights",9,59
18329309,"Ridgewood",9,79
32616111,"Gravesend",9,28
13231399,"East Harlem",9,175
29331513,"Financial District",9,57
26807942,"East Village",9,56
167013,"Chelsea",9,205
17635051,"Upper East Side",9,80
26871208,"Bedford-Stuyvesant",9,100
36200527,"Bedford-Stuyvesant",9,35
10070350,"Upper West Side",9,125
2565087,"Williamsburg",9,65
12039894,"Kew Gardens",9,219
20139305,"Prospect Heights",9,121
30495769,"Williamsburg",9,70
35874901,"Woodhaven",9,35
34436245,"Hell's Kitchen",9,150
1101224,"Bedford-Stuyvesant",9,182
22176068,"Chelsea",9,295
15800923,"East Village",9,178
982038,"Fort Greene",9,130
35604423,"Financial District",9,200
7105865,"Washington Heights",9,45
8272818,"Bedford-Stuyvesant",9,469
8635964,"Williamsburg",9,80
35039936,"Bushwick",9,198
11801984,"Upper East Side",9,122
7277102,"South Slope",9,295
2092611,"Upper East Side",9,150
6797905,"Upper East Side",8,150
24783060,"Bedford-Stuyvesant",8,140
33964102,"Morningside Heights",8,130
6561328,"Williamsburg",8,42
3067670,"Chelsea",8,220
16069925,"Morningside Heights",8,80
10314305,"Flatbush",8,49
34760,"Fort Greene",8,44
144087,"Harlem",8,259
1199863,"Crown Heights",8,103
30594607,"Hell's Kitchen",8,160
18583072,"Fort Greene",8,65
29859444,"Hell's Kitchen",8,170
799945,"Fort Greene",8,40
45910,"Ridgewood",8,350
19873185,"Crown Heights",8,50
13084346,"Park Slope",8,65
16415427,"Theater District",8,105
15356132,"Upper East Side",8,55
15986033,"Washington Heights",8,80
36402818,"Greenpoint",8,85
16414567,"Upper East Side",8,180
15972733,"Lower East Side",8,75
30067603,"Harlem",8,47
17845650,"Midtown",8,141
16402623,"Lower East Side",8,95
29491140,"Prospect Heights",8,150
36410519,"Park Slope",8,111
4379271,"Cobble Hill",8,100
