"id","neighbourhood_group","neighbourhood","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","availability_365"
3647,"Manhattan","Harlem","Private room",150,3,0,NULL,365
7750,"Manhattan","East Harlem","Entire home/apt",190,7,0,NULL,249
8700,"Manhattan","Inwood","Private room",80,4,0,NULL,0
11452,"Brooklyn","Bedford-Stuyvesant","Private room",35,60,0,NULL,365
11943,"Brooklyn","Flatbush","Private room",150,1,0,NULL,365
51438,"Manhattan","Upper East Side","Private room",130,14,0,NULL,0
54466,"Manhattan","Harlem","Private room",200,30,0,NULL,365
63588,"Bronx","Clason Point","Private room",90,2,0,NULL,349
63913,"Manhattan","Inwood","Private room",75,7,0,NULL,323
64015,"Manhattan","East Village","Entire home/apt",200,3,0,NULL,0
65556,"Brooklyn","Williamsburg","Private room",60,3,0,NULL,0
89427,"Brooklyn","Clinton Hill","Entire home/apt",650,5,0,NULL,365
94209,"Brooklyn","Crown Heights","Entire home/apt",100,90,0,NULL,365
118680,"Manhattan","East Village","Private room",87,2,0,NULL,0
145188,"Manhattan","Chelsea","Entire home/apt",200,4,0,NULL,0
149287,"Manhattan","Upper East Side","Entire home/apt",250,4,0,NULL,0
152071,"Brooklyn","Park Slope","Entire home/apt",150,2,0,NULL,8
169483,"Brooklyn","Gravesend","Entire home/apt",106,7,0,NULL,0
200645,"Manhattan","Upper East Side","Shared room",90,1,0,NULL,0
221043,"Manhattan","NoHo","Private room",250,2,0,NULL,0
236806,"Manhattan","East Village","Entire home/apt",160,4,0,NULL,0
237210,"Manhattan","Greenwich Village","Entire home/apt",241,30,0,NULL,249
239826,"Manhattan","Gramercy","Entire home/apt",399,1,0,NULL,12
250311,"Brooklyn","Crown Heights","Private room",150,3,0,NULL,0
250537,"Manhattan","Harlem","Entire home/apt",400,5,0,NULL,365
258876,"Staten Island","Arrochar","Private room",50,7,0,NULL,189
265912,"Brooklyn","Williamsburg","Entire home/apt",110,4,0,NULL,354
266437,"Manhattan","Chelsea","Entire home/apt",220,4,0,NULL,0
273256,"Manhattan","East Harlem","Private room",200,6,0,NULL,0
283072,"Brooklyn","Cypress Hills","Private room",75,7,0,NULL,0
283184,"Brooklyn","Williamsburg","Entire home/apt",300,7,0,NULL,354
292637,"Brooklyn","Crown Heights","Entire home/apt",100,5,0,NULL,0
293004,"Manhattan","Harlem","Entire home/apt",110,1,0,NULL,0
298854,"Brooklyn","Williamsburg","Private room",75,3,0,NULL,358
299062,"Manhattan","Upper East Side","Private room",190,3,0,NULL,0
303462,"Manhattan","Upper West Side","Entire home/apt",295,1,0,NULL,146
344068,"Manhattan","Flatiron District","Private room",160,21,0,NULL,0
349841,"Brooklyn","Williamsburg","Private room",160,5,0,NULL,0
363673,"Manhattan","Upper West Side","Private room",3000,7,0,NULL,365
394235,"Manhattan","Flatiron District","Entire home/apt",350,7,0,NULL,0
402037,"Manhattan","Harlem","Private room",125,1,0,NULL,365
